1-2,Estructural,Fragmentada,Viruta,Bote_Fragmentado,Escarpa,Conos_y_Tortas,ARRABIO,1-2_Importacion,Estanada,Otras_Chatarras,OxigenoMecheros_per_ton_control,GasMecheros_per_ton_control,GrafitoTotal_per_ton_control,OxigenCojetTotal_per_ton_control,TiempoOnTotal_state,TiempoOffTotal_state,SalidaHornoCucharaTemp_state,Cargo_Total_state,NivelEscoria_output,EnergiaVuelco_output,PromedioEscoriaEspumante_output,TiempoEscoriaEspumante_output,PotenciaActiva_per_ton_output
47.19680789655968,10.483289078734703,13.902678365273609,9.175132763795888,8.347523666589701,0.0,0.0,0.0,6.968656199492033,3.926633571923343,0.0,0.6205264373123989,0.23089355806972983,1.1400369429692911,17.410817363195566,2301,33,1583.0,138.592,0.0,49020.0,60.0,123.0,353.7000692680674
55.709552314888164,8.19458699860163,10.723363803566876,9.378035255460876,10.436112393141785,0.0,0.0,0.0,5.557660382037486,0.0,0.0,0.6061900267963546,0.2204327370168562,1.5430291591179934,17.90327135958779,2402,33,1575.0,145.169,0.0,50580.0,58.0,19.0,348.42149494726834
45.50673628941523,12.275336814470762,18.774341516891212,8.5393647405014,6.298502726249893,0.0,0.0,0.0,5.28950177422612,3.3183798286357216,0.0,0.5914087066901308,0.21636903903297466,0.9880852782505843,17.446556847358856,2258,39,1580.0,138.652,0.0,49005.0,59.0,95.0,353.4388252603641
63.84849778884361,8.112881162105626,0.0,8.516751952404045,11.608751981355356,0.0,0.0,0.0,7.9131171152913575,0.0,0.0,0.586264050433184,0.21713483349377183,1.5561329733720315,17.1608896737911,2379,63,1580.0,138.163,0.0,48015.0,76.0,236.0,347.5243010067818
57.3051747560825,15.06077051050135,0.0,9.06871826166554,10.733822984547654,0.0,0.0,0.0,7.831513487202958,0.0,0.0,0.6102478041976331,0.22521049916817412,0.8354583033658072,17.660862047671976,2399,47,1583.0,137.649,0.0,48045.0,74.0,210.0,349.0399494366105
63.08077455846704,10.255540805725499,0.0,7.774443033591134,9.772163222901996,0.0,0.0,0.0,9.117078379314325,0.0,0.0,0.5915964446496594,0.22365231444072492,1.1904074800877293,17.466524298741774,2340,33,1582.0,138.608,0.0,48540.0,76.0,222.0,350.19623686944476
58.36256783904531,10.968936463674252,0.0,10.817516716140446,11.487661539384126,0.0,0.0,0.0,8.362567839045306,0.0,0.0,0.5996821684507211,0.22488081316902042,1.4692213127042668,18.402746544331503,2351,33,1590.0,133.404,0.0,49515.0,80.0,253.0,371.1657821354682
61.93619521536653,10.145947279084275,4.454583702070246,9.258077151851905,7.530937631475867,0.0,0.0,0.0,6.67425902015117,0.0,0.0,0.5948149545184175,0.22486906817159685,0.8777147499601039,17.931494726457657,2346,154,1595.0,137.858,0.0,48045.0,73.0,227.0,348.51078646143134
63.122035984505665,13.591572240524199,0.0,7.534301125873367,6.3468848423415265,0.0,0.0,0.0,9.405205806755239,0.0,0.0,0.5937081417659197,0.2244506389602867,1.1656952539550374,17.67367773232451,2340,33,1594.0,138.115,0.0,48030.0,77.0,225.0,347.75368352459907
53.91335818464768,8.557779305852122,7.375049762947414,6.8647533567369985,6.8886395714957835,5.7884260432123344,0.0,0.0,10.61271759979733,0.0,0.0,0.629727480004343,0.23162390069125258,1.0567840469038399,17.92189931598567,2427,33,1590.0,138.155,0.0,48030.0,84.0,247.0,347.65299844377694
42.64928092042186,10.241227229146693,14.254266538830295,10.35091083413231,7.094918504314477,5.239501438159157,0.0,0.0,10.16836049856184,0.0,0.0,0.45254074784276127,0.1610738255033557,1.0201342281879195,18.186001917545543,2337,38,1592.0,130.375,0.0,47040.0,87.0,213.0,360.80536912751677
46.80167889360047,9.604682471688468,14.832866574034744,7.265606439118509,6.882599837294188,4.444892405382251,0.0,0.0,10.166953441659887,0.0,0.0,0.05039560550320012,0.0,1.3966782096601176,15.98260631672918,2419,68,1582.0,138.901,0.0,48045.0,87.0,236.0,345.8938380573214
54.83940659657209,9.770992366412212,4.963992510442171,8.01094627682558,7.466513034711219,4.547745931153679,0.0,0.0,10.401123433674202,0.0,0.0,0.04320898746939363,0.0,1.0298142013538816,15.66325795765519,2357,68,1587.0,138.86,0.0,48090.0,90.0,345.0,346.32003456718996
49.52492778470116,9.500723953868652,7.859041499484948,7.872007837430938,7.106273546509534,6.269224396885197,0.0,0.0,8.63990318467667,3.227897796442901,0.0,0.04322112648662666,0.0,1.1021387254089798,15.86935694167309,2275,65,1587.0,138.821,0.0,49050.0,93.0,388.0,353.332709028173
48.07955946664216,12.330645099525924,8.914060764806347,7.5691779825226515,5.5886159808224,4.553148143893267,0.0,0.0,9.548974105645291,3.415052577564353,0.0,0.04595271465661834,0.0,0.9267130789084699,14.812091690983312,2101,335,1591.0,130.569,0.0,46035.0,84.0,323.0,345.3346506444868
48.85187825373167,10.005112364000318,11.856364173129128,8.701099518285702,6.0289892640356,3.3323972666853883,0.0,0.0,7.091784935087379,4.133094276312474,0.0,0.07920563944152824,0.0,2.5705830255114166,18.54132014199411,2514,1407,1597.0,138.879,0.0,55065.0,86.0,424.0,396.4962305316139
45.101782086928964,9.36135882327518,13.196375318744328,8.506331666978808,6.619797444282772,5.267024908878741,0.0,0.0,7.99201878610635,3.9531499863138038,0.0,0.050422831458084225,0.0,2.7444426836471556,17.9937475688992,2506,102,1600.0,138.826,0.0,53040.0,85.0,360.0,382.06099721954104
51.72441206654814,8.877180810314671,7.630487258430538,8.70661867799893,10.486680253819578,4.670222453492909,0.0,0.0,7.905121200294869,0.0,0.0,0.050590462975008306,0.0,1.6333492331931254,18.320974805949437,2472,83,1600.0,138.366,0.0,53025.0,76.0,281.0,383.2227570356879
36.169691439386256,11.084355672716214,14.507925242488763,9.807698806989084,14.334718983405997,5.1666159721518135,0.0,0.0,8.928148974280983,0.0,0.0,0.04224542904457738,0.0,3.4556760958464294,15.022474568251717,1299,162,1625.0,118.356,0.0,33555.0,0.0,421.0,414.0052046368583
57.55602291681776,11.893538327652475,3.627529189934006,8.125317281891364,10.944230908695337,0.0,0.0,0.0,7.853361375009067,0.0,0.0,0.05076510261802887,0.0,1.6679962288780914,16.527666980926828,2427,184,1589.0,137.89,0.0,50520.0,87.0,323.0,366.3789977518312
57.68179412255196,11.93761465229087,3.3752184284750975,9.268618081889832,10.443962673201998,0.0,0.0,0.0,7.293517115366488,0.0,0.0,0.050755164337971385,0.0,1.6604189476279212,16.33591217906422,2497,68,1590.0,137.917,0.0,50610.0,85.0,312.0,366.95983816353316
48.459577410015996,9.840988635872618,16.091258695933977,7.208803237840096,10.116089818375606,0.0,0.0,0.0,8.283282201961716,0.0,0.0,0.05041121145342724,0.0,1.260280286335681,15.281798672024658,2354,68,1584.0,138.858,0.0,49035.0,88.0,298.0,353.13053623125785
48.9914768637162,12.71271847735322,13.068329062167066,7.0243888392985685,7.33248869820611,0.0,0.0,0.0,10.87203777822569,0.0,0.0,0.05039016384001843,0.0,1.324541449509056,14.800310979296842,2391,153,1593.0,138.916,0.0,49035.0,96.0,464.0,352.9830976993291
36.429087754807,11.92496747144716,19.86410293479832,10.589851091513662,6.557033395980916,0.0,0.0,0.0,10.839959520023132,3.7935521179702185,0.0,0.050599971085730805,0.0,0.9975422871186931,14.377620355645512,2185,203,1603.0,138.34,0.0,50040.0,93.0,503.0,361.71750758999565
26.131917272219116,29.657945509295153,13.965271642113994,10.287780161921418,3.053607169260174,0.0,0.0,0.0,12.064768567770786,4.841414378189293,0.0,0.054094015398763046,0.0,2.9661551776988406,18.806686020303285,1679,258,1587.0,110.918,0.0,37545.0,98.0,590.0,338.4933013577598
