1-2;Estructural;Fragmentada;Viruta;Bote_Fragmentado;Escarpa;Conos_y_Tortas;ARRABIO;1-2_Importacion;Estanada;Otras_Chatarras;Cargo_Total;SalidaHornoCucharaTemp;TiempoOnTotal;TiempoOffTotal;OxigenoMecheros;GasMecheros;GrafitoTotal;OxigenCojetTotal;SecuenciaEsPrimera_num;PotenciaActiva
66.634;19.364;13.843;11.382;4.067;0.0;0.0;0.0;12.999;9.944;0.0;138.233;1584.0;2385;68;7;0;166;2217;0;49080
62.814;20.578;20.015;10.049;8.232;0.0;0.0;0.0;11.931;5.16;0.0;138.778;1582.0;2385;563;9;0;130;2190;0;49155
67.306;18.933;16.007;11.888;9.582;0.0;0.0;0.0;8.749;6.294;0.0;138.756;1623.0;3755;184;15;0;738;1494;1;65550
69.633;19.054;16.732;8.048;8.542;0.0;0.0;0.0;11.89;4.89;0.0;138.791;1593.0;2551;138;7;0;219;2417;0;52860
61.272;20.839;17.825;9.787;4.649;0.0;0.0;0.0;14.471;6.657;0.0;135.501;1601.0;2469;62;7;0;211;2362;0;50625
63.713;18.612;19.162;12.064;4.862;0.0;0.0;0.0;11.896;5.522;0.0;135.833;1602.0;2534;113;7;0;325;2538;0;52410
58.31;21.691;14.871;13.048;4.96;0.0;0.0;0.0;14.967;6.044;0.0;133.891;1592.0;2393;65;7;0;194;2198;0;48495
60.247;19.737;16.2;11.695;5.429;0.0;0.0;0.0;13.121;6.667;0.0;133.096;1583.0;2301;68;7;0;196;2144;0;48495
60.247;19.737;16.2;11.695;5.429;0.0;0.0;0.0;13.121;6.667;0.0;133.096;1583.0;2301;68;7;0;196;2144;0;48495
52.926;22.785;20.426;10.566;5.085;0.0;0.0;0.0;16.137;5.464;0.0;133.39;1599.0;2430;242;8;0;156;2186;0;48555
61.584;21.636;18.073;10.93;5.347;0.0;0.0;0.0;10.219;5.268;0.0;133.055;1596.0;2362;74;7;0;198;2184;0;48570
57.468;21.374;22.347;11.951;4.627;0.0;0.0;0.0;12.729;6.685;0.0;137.182;1590.0;2422;71;8;0;169;2202;0;48570
60.892;14.997;12.266;12.321;4.263;0.0;0.0;0.0;11.183;4.444;0.0;120.365;1587.0;2281;119;7;0;129;1838;0;44130
