time,month,temperature
748,4,-9.5
749,5,-3.4
750,6,2.4
751,7,5.6
752,8,4.7
753,9,1.2
754,10,-1.8
755,11,-5.2
756,12,-5.4
757,1,-11.3
758,2,-9.5
759,3,-11.8
760,4,-8.4
761,5,-3.9
762,6,1.4
763,7,4.8
764,8,4.3
765,9,1.3
766,10,-5.4
767,11,-8.4
768,12,-15.8
769,1,-11.6
770,2,-10.3
771,3,-5.4
772,4,-7.5
773,5,-1.9
774,6,2.7
775,7,999.9
776,8,999.9
777,9,999.9
778,10,999.9
779,11,999.9
780,12,999.9
781,1,-19
782,2,999.9
783,3,999.9
784,4,999.9
785,5,999.9
786,6,999.9
787,7,999.9
788,8,999.9
789,9,999.9
790,10,-2.7
791,11,-5.5
792,12,-8.1
793,1,-19.3
794,2,-19
795,3,-16.3
796,4,-8.5
797,5,-2.3
798,6,3.1
799,7,7.4
800,8,6.4
801,9,-0.4
802,10,-4.4
803,11,-9.5
804,12,-11
805,1,-19.1
806,2,-19.2
807,3,-14.5
808,4,-16
809,5,999.9
810,6,999.9
811,7,999.9
812,8,6.2
813,9,2.4
814,10,-2.9
815,11,999.9
816,12,-11.3
817,1,-15.3
818,2,-13.5
819,3,-13.8
820,4,-8.1
821,5,-1.9
822,6,4.8
823,7,7.4
824,8,5.6
825,9,2.4
826,10,-6.2
827,11,-13.7
828,12,-17.5
829,1,-20.5
830,2,-11.2
831,3,-18
832,4,-10.8
833,5,-3.8
834,6,999.9
835,7,6.7
836,8,6.8
837,9,2.7
838,10,-2.3
839,11,-6
840,12,-13.5
841,1,-18.3
842,2,-14.2
843,3,-7.2
844,4,-8.6
845,5,-2.6
846,6,2.4
847,7,6.5
848,8,5.3
849,9,-1.2
850,10,-3.9
851,11,-7.2
852,12,-11.8
853,1,-9.3
854,2,-14.5
855,3,-8.7
856,4,-10.3
857,5,-1.9
858,6,2.6
859,7,7.4
860,8,5.6
861,9,2.2
862,10,-5
863,11,-12.9
864,12,-15.7
865,1,-7.2
866,2,-7.7
867,3,-13.3
868,4,-6.7
869,5,-1.5
870,6,4.1
871,7,8
872,8,6.5
873,9,2.9
874,10,-1.1
875,11,-3.2
876,12,-1.3
877,1,-11.3
878,2,-8.2
879,3,-10.5
880,4,-12.1
881,5,-2.3
882,6,4.6
883,7,8.6
884,8,6.2
885,9,1.9
886,10,-5.2
887,11,-8.2
888,12,-12
889,1,-14.1
890,2,-21.2
891,3,-12.7
892,4,-12.7
893,5,-1.5
894,6,5.2
895,7,7.9
896,8,6.5
897,9,0
898,10,-2.6
899,11,-7.7
900,12,-9.9
901,1,-10.5
902,2,-15.7
903,3,-12.4
904,4,-9.6
905,5,-2
906,6,3.5
907,7,6.1
908,8,5.5
909,9,0.1
910,10,-5.5
911,11,-8.9
912,12,-16.7
913,1,-15.4
914,2,-13.3
915,3,-18.4
916,4,-16.8
917,5,-1.2
918,6,4.3
919,7,8.3
920,8,6.9
921,9,-0.1
922,10,-7.8
923,11,-15.5
924,12,-21.1
925,1,-16.9
926,2,-17.8
927,3,-13.5
928,4,-6.5
929,5,-0.1
930,6,3.9
931,7,6.8
932,8,6.2
933,9,2.8
934,10,-4.1
935,11,-8
936,12,-13.8
937,1,-4.8
938,2,-8.6
939,3,-14
940,4,-6.8
941,5,-2.6
942,6,4.2
943,7,7.9
944,8,7
945,9,6.6
946,10,-1.1
947,11,-10.5
948,12,-7.6
949,1,-10.9
950,2,-7.8
951,3,-7.3
952,4,-10.4
953,5,-2.4
954,6,4
955,7,7
956,8,7.6
957,9,2.1
958,10,-3.9
959,11,-10.2
960,12,-11.5
961,1,-11.3
962,2,-16.2
963,3,-10.1
964,4,-5.2
965,5,-1.2
966,6,4.6
967,7,7.4
968,8,6
969,9,4.4
970,10,-6.8
971,11,-5.4
972,12,-10.8
973,1,-15.6
974,2,-15
975,3,-14.9
976,4,-13.2
977,5,-2.2
978,6,3.8
979,7,9.3
980,8,7.9
981,9,1.3
982,10,-7.4
983,11,-0.7
984,12,-9.8
985,1,-15.4
986,2,-15
987,3,-8.1
988,4,-5.2
989,5,-2.5
990,6,4.5
991,7,6.6
992,8,4.9
993,9,1.9
994,10,-7.2
995,11,-12.8
996,12,-6.6
997,1,-15
998,2,-12.6
999,3,-13.9
1000,4,-5.4
1001,5,-1.1
1002,6,4.7
1003,7,7.8
1004,8,6.8
1005,9,3.6
1006,10,999.9
1007,11,-12.9
1008,12,-13
1009,1,-8.3
1010,2,-15.9
1011,3,-5.6
1012,4,-8
1013,5,-3.4
1014,6,3.8
1015,7,6.8
1016,8,6.4
1017,9,2.2
1018,10,-2.5
1019,11,-3.4
1020,12,-14.6
1021,1,-16.4
1022,2,-14.5
1023,3,-10.7
1024,4,-12.4
1025,5,-1.8
1026,6,4
1027,7,6.7
1028,8,5.9
1029,9,2
1030,10,-3.5
1031,11,-6.8
1032,12,-8.5
1033,1,-18.6
1034,2,-18.8
1035,3,-11.9
1036,4,-11.2
1037,5,-4.1
1038,6,4.1
1039,7,9.7
1040,8,8.2
1041,9,1.8
1042,10,-2.5
1043,11,-3.9
1044,12,-10.3
1045,1,-8.6
1046,2,-11.4
1047,3,-6.4
1048,4,-9.2
1049,5,-0.6
1050,6,4.1
1051,7,7.8
1052,8,6.3
1053,9,4.2
1054,10,-4.8
1055,11,-2.5
1056,12,-8.7
1057,1,-7.1
1058,2,-9.7
1059,3,-13.5
1060,4,-11.4
1061,5,-3
1062,6,3.5
1063,7,7.5
1064,8,6.6
1065,9,3.5
1066,10,2.7
1067,11,-2.3
1068,12,-8.3
1069,1,-6.9
1070,2,-7.8
1071,3,-15.2
1072,4,-11
1073,5,-1.5
1074,6,4.8
1075,7,7.8
1076,8,7.9
1077,9,4.6
1078,10,-3.8
1079,11,-9.7
1080,12,-7.6
1081,1,-11.3
1082,2,-12.2
1083,3,-16.9
1084,4,-4.7
1085,5,-1.9
1086,6,5.1
1087,7,8.5
1088,8,8.9
1089,9,1.5
1090,10,-1.6
1091,11,-4.2
1092,12,-6.1
1093,1,-17.2
1094,2,-10.9
1095,3,-15.9
1096,4,-8.2
1097,5,-1.1
1098,6,4.2
1099,7,8.4
1100,8,7.8
1101,9,2
1102,10,-2.9
1103,11,-5.3
1104,12,-17.7
1105,1,-15.6
1106,2,-16.1
1107,3,999.9
1108,4,999.9
1109,5,999.9
1110,6,999.9
1111,7,999.9
1112,8,999.9
1113,9,999.9
1114,10,999.9
1115,11,999.9
1116,12,999.9
1117,1,-18
1118,2,999.9
1119,3,999.9
1120,4,999.9
1121,5,999.9
1122,6,999.9
1123,7,999.9
1124,8,999.9
1125,9,999.9
1126,10,999.9
1127,11,999.9
1128,12,-3.8
1129,1,-2.7
1130,2,-9.8
1131,3,-13.1
1132,4,0
1133,5,0.9
1134,6,4.8
1135,7,7.5
1136,8,6.6
1137,9,1.7
1138,10,-5.5
1139,11,-4.1
1140,12,-6.3
1141,1,-9
1142,2,-9
1143,3,-6.7
1144,4,-9.4
1145,5,-1.4
1146,6,5.1
1147,7,7.8
1148,8,6.4
1149,9,2.1
1150,10,-2.5
1151,11,-5.3
1152,12,-8.6
1153,1,-7.5
1154,2,-8.9
1155,3,-14.7
1156,4,-10.5
1157,5,-1.9
1158,6,3.4
1159,7,6.2
1160,8,5
1161,9,3.3
1162,10,-5.7
1163,11,-8.6
1164,12,-8
1165,1,-12.7
1166,2,-11.3
1167,3,-11.5
1168,4,-15.9
1169,5,-1
1170,6,3
1171,7,7.7
1172,8,6.3
1173,9,1.7
1174,10,-3.6
1175,11,-1.9
1176,12,-5.5
1177,1,-7.2
1178,2,-10.3
1179,3,-15.8
1180,4,-7.7
1181,5,0
1182,6,3.5
1183,7,6.6
1184,8,4.8
1185,9,2
1186,10,-2.9
1187,11,-11
1188,12,-11.6
1189,1,-15.2
1190,2,-12.7
1191,3,-12.7
1192,4,-5.8
1193,5,-1.6
1194,6,4.8
1195,7,6.9
1196,8,6.9
1197,9,4.4
1198,10,-2.6
1199,11,-6
1200,12,-6.6
1201,1,-3.4
1202,2,-5.6
1203,3,-5.3
1204,4,-9.2
1205,5,-2.4
1206,6,3.9
1207,7,6.6
1208,8,5.7
1209,9,3
1210,10,-2.7
1211,11,-6.4
1212,12,-7.9
1213,1,-8.3
1214,2,-10.8
1215,3,-14.3
1216,4,-9.3
1217,5,-1.5
1218,6,4.4
1219,7,7.4
1220,8,7.2
1221,9,3.7
1222,10,-4.7
1223,11,-8
1224,12,-8.1
1225,1,-4.1
1226,2,-1.7
1227,3,-8.6
1228,4,-9.7
1229,5,-2
1230,6,3.8
1231,7,7.2
1232,8,6.4
1233,9,1.6
1234,10,-1.9
1235,11,-6.4
1236,12,-9.6
1237,1,-7.3
1238,2,-13.9
1239,3,-6.8
1240,4,-5.3
1241,5,-2.2
1242,6,4.6
1243,7,8.1
1244,8,7.3
1245,9,2.8
1246,10,-1.8
1247,11,-3.4
1248,12,-6
1249,1,-3.8
1250,2,-5.6
1251,3,-6.9
1252,4,-6.2
1253,5,1.4
1254,6,5
1255,7,9
1256,8,5.8
1257,9,4.1
1258,10,3.2
1259,11,-0.7
1260,12,-6
1261,1,-10.3
1262,2,-6.9
1263,3,-11.6
1264,4,-8.3
1265,5,-3.9
1266,6,4.6
1267,7,6.9
1268,8,999.9
1269,9,999.9
1270,10,999.9
1271,11,999.9
1272,12,999.9
